psi,gamma_agent_1,gamma_agent_2,gamma_true
-0.829970661907284,-0.447561762531179,-0.0147572859558585,0.432804476575321
-0.817674800249398,-0.447921171653799,-0.0167735242248417,0.431147647428957
-0.805378938591512,-0.448265863344799,-0.0187769787819501,0.429488884562849
-0.793083076933627,-0.448585458576031,-0.0207726907814243,0.427812767794606
-0.780787215275741,-0.448868834665247,-0.0227657173726148,0.426103117292632
-0.768491353617855,-0.449104284690366,-0.0247610574503102,0.424343227240056
-0.75619549195997,-0.449279684317958,-0.0267635785163848,0.422516105801573
-0.743899630302084,-0.449382663785613,-0.0287779459317604,0.420604717853852
-0.731603768644198,-0.449400782704226,-0.0308085557965223,0.418592226907704
-0.719307906986313,-0.449321705305243,-0.0328594726339704,0.416462232671272
-0.707012045328427,-0.449133373750072,-0.0349343729724443,0.414199000777628
-0.694716183670541,-0.448824177144631,-0.0370364958182787,0.411787681326352
-0.682420322012656,-0.448383113960851,-0.039168600895901,0.40921451306495
-0.67012446035477,-0.447799945658445,-0.0413329353987752,0.40646701025967
-0.657828598696884,-0.447065339422875,-0.043531209849841,0.403534129573034
-0.645532737038999,-0.446170998087811,-0.0457645835146407,0.40040641457317
-0.633236875381113,-0.445109775490194,-0.0480336596470669,0.397076115843127
-0.620941013723227,-0.443875775710864,-0.0503384906792629,0.393537285031601
-0.608645152065342,-0.442464434880757,-0.0526785932964617,0.389785841584295
-0.596349290407456,-0.440872584478584,-0.0550529731672653,0.385819611311319
-0.58405342874957,-0.439098495307402,-0.0574601589328786,0.381638336374523
-0.571757567091684,-0.437141901610595,-0.0598982448978694,0.377243656712725
-0.559461705433799,-0.435004005068867,-0.0623649417128323,0.372639063356035
-0.547165843775913,-0.432687458704657,-0.0648576341983967,0.367829824506261
-0.534869982118027,-0.430196331004975,-0.0673734453327409,0.362822885672234
-0.522574120460142,-0.427536050853859,-0.0699093053132609,0.357626745540599
-0.510278258802256,-0.424713334137437,-0.0724620245092243,0.352251309628213
-0.49798239714437,-0.421736093143986,-0.0750283690477104,0.346707724096276
-0.485686535486485,-0.418613330124694,-0.0776051377212097,0.341008192403484
-0.473390673828599,-0.415355016604443,-0.0801892388729038,0.335165777731539
-0.461094812170713,-0.411971960232618,-0.082777765905494,0.329194194327124
-0.448798950512828,-0.408475661138763,-0.0853680700717712,0.323107591066992
-0.436503088854942,-0.404878159904255,-0.0879578292398127,0.316920330664442
-0.424207227197056,-0.401191879376925,-0.0905451113823138,0.310646767994611
-0.411911365539171,-0.397429462638956,-0.0931284316172805,0.304301031021676
-0.399615503881285,-0.393603609488231,-0.0957068017249797,0.297896807763251
-0.387319642223399,-0.389726913808747,-0.0982797711821723,0.291447142626575
-0.375023780565513,-0.385811704186601,-0.100847458887447,0.284964245299154
-0.362727918907628,-0.381869890074492,-0.103410574898869,0.278459315175623
-0.350432057249742,-0.377912815720533,-0.105970431664838,0.271942384055694
-0.338136195591856,-0.373951123957595,-0.108528944398488,0.265422179559106
-0.325840333933971,-0.36999463179915,-0.11108862042248,0.25890601137667
-0.313544472276085,-0.366052219608802,-0.113652537491794,0.252399682117008
-0.301248610618199,-0.362131735406001,-0.116224311284264,0.245907424121737
-0.288952748960314,-0.358239915642758,-0.118808052429094,0.239431863213665
-0.276656887302428,-0.354382323538919,-0.121408313619636,0.232974009919283
-0.264361025644542,-0.350563305800216,-0.124030027525344,0.226533278274872
-0.252065163986657,-0.346785968267877,-0.126678436376258,0.220107531891619
-0.239769302328771,-0.343052170764977,-0.129359014239129,0.213693156525848
-0.227473440670885,-0.339362541117213,-0.132077383134772,0.207285157982442
-0.215177579013,-0.335716508038561,-0.134839224259341,0.200877283779221
-0.202881717355114,-0.332112352289623,-0.137650185666005,0.194462166623618
-0.190585855697228,-0.328547275242538,-0.140515787836282,0.188031487406256
-0.178289994039342,-0.325017483725226,-0.143441328620816,0.181576155104411
-0.165994132381457,-0.321518289773319,-0.14643178905663,0.17508650071669
-0.153698270723571,-0.318044223694052,-0.149491741571311,0.168552482122741
-0.141402409065685,-0.314589158646066,-0.152625262063913,0.161963896582153
-0.1291065474078,-0.311146444765428,-0.155835847307777,0.155310597457652
-0.116810685749914,-0.307709050723915,-0.159126339052506,0.148582711671409
-0.104514824092028,-0.304269710492921,-0.162498856111909,0.141770854381011
-0.0922189624341427,-0.300821073006947,-0.165954735613053,0.134866337393894
-0.079923100776257,-0.297355852375799,-0.169494484450395,0.127861367925405
-0.0676272391183713,-0.293866976285071,-0.173117741840054,0.120749234445017
-0.0553313774604856,-0.290347730250509,-0.176823253705035,0.113524476545474
-0.0430355158025999,-0.286791895453037,-0.180608859444953,0.106183036008085
-0.0307396541447142,-0.283193877976851,-0.184471491456385,0.0987223865204657
-0.0184437924868285,-0.279548827401648,-0.188407187575165,0.0911416398264831
-0.00614793082894284,-0.27585274285998,-0.19241111641277,0.0834416264472098
0.00614793082894284,-0.272102564859496,-0.196477615358609,0.0756249495008869
0.0184437924868285,-0.268296251384922,-0.200600240821553,0.0676960105633698
0.0307396541447142,-0.26443283703264,-0.204771830090624,0.0596610069420161
0.0430355158025999,-0.260512474188408,-0.208984574009491,0.0515279001789167
0.0553313774604856,-0.256536455532179,-0.213230099485172,0.0433063560470072
0.0676272391183713,-0.25250721743916,-0.217499560691077,0.0350076567480829
0.079923100776257,-0.248428324138937,-0.221783737680681,0.0266445864582558
0.0922189624341427,-0.244304432790396,-0.22607314100321,0.0182312917871856
0.104514824092028,-0.240141239924797,-0.230358120808766,0.00978311911603041
0.116810685749914,-0.235945409998358,-0.23462897884909,0.00131643114926752
0.1291065474078,-0.231724487074716,-0.238876081723126,-0.00715159464841025
0.141402409065685,-0.227486790922458,-0.243089973684764,-0.0156031827623068
0.153698270723571,-0.223241299059496,-0.247261487324235,-0.0240201882647387
0.165994132381457,-0.218997516500701,-0.251381850454935,-0.0323843339542336
0.178289994039342,-0.214765335164393,-0.255442787583853,-0.0406774524194598
0.190585855697228,-0.210554885063984,-0.259436614415626,-0.0488817293516423
0.202881717355114,-0.206376379550556,-0.263356323936761,-0.0569799443862054
0.215177579013,-0.202239956978209,-0.267195662746262,-0.0649557057680532
0.227473440670885,-0.198155521234954,-0.270949196440234,-0.0727936752052802
0.239769302328771,-0.194132583616412,-0.274612363018822,-0.0804797794024101
0.252065163986657,-0.190180108517015,-0.27818151346181,-0.0880014049447954
0.264361025644542,-0.186306365373598,-0.281653938811706,-0.0953475734381078
0.276656887302428,-0.182518789219611,-0.285027883307215,-0.102509094087604
0.288952748960314,-0.178823852095615,-0.288302543322662,-0.109478691227047
0.301248610618199,-0.175226947414788,-0.291478052086858,-0.11625110467207
0.313544472276085,-0.171732289202739,-0.294555450374805,-0.122823161172066
0.325840333933971,-0.168342827921624,-0.297536643584079,-0.129193815662455
0.338136195591856,-0.165060184352204,-0.300424345821374,-0.13536416146917
0.350432057249742,-0.161884602747483,-0.303222011830084,-0.141337409082601
0.362727918907628,-0.158814924191636,-0.305933757783854,-0.147118833592218
0.375023780565513,-0.155848580802053,-0.308564272150495,-0.152715691348441
0.387319642223399,-0.152981611104805,-0.311118717992775,-0.15813710688797
0.399615503881285,-0.150208696599175,-0.313602628214676,-0.163393931615502
0.411911365539171,-0.147523219209611,-0.316021795381382,-0.168498576171771
0.424207227197056,-0.144917339008277,-0.318382157836581,-0.173464818828304
0.436503088854942,-0.142382091282946,-0.32068968390993,-0.178307592626984
0.448798950512828,-0.139907501727848,-0.322950256049459,-0.183042754321611
0.461094812170713,-0.137482718253707,-0.325169556727512,-0.187686838473805
0.473390673828599,-0.135096157651817,-0.327352957953999,-0.192256800302182
0.485686535486485,-0.132735665109566,-0.329505416187389,-0.196769751077823
0.49798239714437,-0.130388684364937,-0.331631374362385,-0.201242689997449
0.510278258802256,-0.128042436108468,-0.33373467265448,-0.205692236546012
0.522574120460142,-0.125684102095783,-0.335818469476982,-0.2101343673812
0.534869982118027,-0.123301012324323,-0.337885174057225,-0.214584161732902
0.547165843775913,-0.120880832556387,-0.339936391767745,-0.219055559211358
0.559461705433799,-0.118411749438015,-0.341972883197607,-0.223561133759592
0.571757567091684,-0.115882650470649,-0.343994537741606,-0.228111887270957
0.58405342874957,-0.113283296139817,-0.346000362263782,-0.232717066123965
0.596349290407456,-0.110604481592007,-0.347988485159883,-0.237384003567876
0.608645152065342,-0.107838185376385,-0.349956175904551,-0.242117990528166
0.620941013723227,-0.104977702930527,-0.351899879926668,-0.246922176996142
0.633236875381113,-0.10201776268674,-0.353815268414234,-0.251797505727494
0.645532737038999,-0.0989546229053009,-0.355697302411986,-0.256742679506685
0.657828598696884,-0.0957861475998225,-0.357540310344455,-0.261754162744633
0.67012446035477,-0.0925118602045707,-0.359338077877819,-0.266826217673249
0.682420322012656,-0.0891329739398783,-0.361083948829219,-0.271950974889341
0.694716183670541,-0.085652398155612,-0.362770935645455,-0.277118537489843
0.707012045328427,-0.0820747202694369,-0.364391837807035,-0.282317117537598
0.719307906986313,-0.0784061632616175,-0.365939366371277,-0.28753320310966
0.731603768644198,-0.0746545190364361,-0.367406272751811,-0.292751753715375
0.743899630302084,-0.0708290583070494,-0.368785479743415,-0.297956421436365
0.75619549195997,-0.0669404180007618,-0.370070212742293,-0.303129794741531
0.768491353617855,-0.0630004675104177,-0.371254129083672,-0.308253661573254
0.780787215275741,-0.0590221554301363,-0.372331443421806,-0.313309287991669
0.793083076933627,-0.0550193387053834,-0.37329704711224,-0.318277708406856
0.805378938591512,-0.051006596394165,-0.374146619622292,-0.323140023228127
0.817674800249398,-0.0469990304739621,-0.374876730092439,-0.327877699618477
0.829970661907284,-0.0430120563343926,-0.375484927297437,-0.332472870963044
0.84226652356517,-0.0390611857653854,-0.375969816409896,-0.336908630644511
0.854562385223055,-0.0351618053822636,-0.376331121148674,-0.341169315766411
0.866858246880941,-0.0313289535205066,-0.376569730097238,-0.345240776576732
0.879154108538827,-0.0275770986825409,-0.376687726200371,-0.34911062751783
0.891449970196712,-0.0239199226258032,-0.376688398687991,-0.352768476062188
0.903745831854598,-0.0203701111451582,-0.376576236929005,-0.356206125783847
0.916041693512484,-0.0169391555238176,-0.376356905982344,-0.359417750458527
0.928337555170369,-0.0136371675060813,-0.376037203882741,-0.362400036376659
0.940633416828255,-0.0104727104839419,-0.375625000971469,-0.365152290487527
0.952929278486141,-0.00745264938993667,-0.37512916185309,-0.367676512463153
0.965225140144026,-0.00458202155314286,-0.374559450824201,-0.369977429271058
0.977521001801912,-0.00186393050702716,-0.37392642187528,-0.372062491368253
0.989816863459798,0.000700535559485904,-0.373241294608123,-0.373941830167609
1.00211272511768,0.00311235933885673,-0.372515817635263,-0.37562817697412
1.01440858677557,0.00537462290412011,-0.371762121230902,-0.377136744135022
1.02670444843345,0.00749250850430891,-0.37099256118184,-0.378485069686149
1.03900031009134,0.009473271360699,-0.370219555939027,-0.379692827299726
1.05129617174923,0.0113261845453355,-0.369455419293123,-0.380781603838459
1.06359203340711,0.0130624564011822,-0.368712190888785,-0.381774647289967
1.075887895065,0.0146951213369149,-0.368001466950774,-0.382696588287689
1.08818375672288,0.0162389051937005,-0.367334233619217,-0.383573138812917
1.10047961838077,0.0177100667312265,-0.366720705280859,-0.384430772012086
1.11277548003865,0.0191262171109126,-0.366170170237858,-0.385296387348771
1.12507134169654,0.0205061195610401,-0.365690845975858,-0.386196965536898
1.13736720335443,0.0218694716872062,-0.365289746179839,-0.387159217867045
1.14966306501231,0.0232366731381336,-0.364972561500823,-0.388209234638956
1.1619589266702,0.0246285815479831,-0.364743555900894,-0.389372137448877
1.17425478832808,0.02606625984894,-0.364605480200529,-0.390671740049469
1.18655064998597,0.0275707181795118,-0.364559504223639,-0.392130222403151
1.19884651164385,0.0291626537027961,-0.36460516868523,-0.393767822388026
1.21114237330174,0.0308621916936334,-0.364740357697645,-0.395602549391278
1.22343823495963,0.0326886312533437,-0.364961292487769,-0.397649923741113
1.23573409661751,0.0346601989655803,-0.365262546623404,-0.399922745588984
1.2480299582754,0.0367938137172289,-0.365637082746406,-0.402430896463635
1.26032581993328,0.039104865775388,-0.36607631050755,-0.405181176282938
1.27262168159117,0.0416070130370101,-0.366570165097668,-0.408177178134678
1.28491754324905,0.0443119971540727,-0.367107205475996,-0.411419202630068
1.29721340490694,0.0472294819870141,-0.367674731113875,-0.414904213100889
1.30950926656483,0.0503669165559675,-0.368258915804442,-0.418625832360409
1.32180512822271,0.0537294243468332,-0.36884495684041,-0.422574381187243
1.3341009898806,0.0573197204916506,-0.369417237636404,-0.426736958128055
1.34639685153848,0.0611380579845955,-0.369959501672792,-0.431097559657388
1.35869271319637,0.0651822037210499,-0.370455035467691,-0.435637239188741
1.37098857485425,0.0694474447625946,-0.370886858145399,-0.440334302907994
1.38328443651214,0.0739266248406312,-0.371237915065027,-0.445164539905659
1.39558029817003,0.0786102107208825,-0.371491272904372,-0.450101483625255
1.40787615982791,0.0834863876654925,-0.371630313562106,-0.455116701227598
1.4201720214858,0.0885411828540031,-0.371638924246945,-0.460180107100948
1.43246788314368,0.0937586152641542,-0.37150168116558,-0.465260296429734
