phi,a_1,a_2,a_3,a_4
1.24188202744645,2.22182516561128,2.11661039434555,2.01573969133962,2.13882500872089
1.25417788910434,2.29794378727826,2.19342938928704,2.05647959149273,2.22333282213029
1.26647375076223,2.37293194680902,2.26917144038933,2.09534162184521,2.30420198788134
1.27876961242011,2.44656376976501,2.34361938612305,2.13213444836415,2.38096973936414
1.291065474078,2.51859210030767,2.41653561100331,2.16666942689581,2.45318956782882
1.30336133573588,2.5887488425082,2.48766221065444,2.19876200345035,2.52043469785234
1.31565719739377,2.65674576805473,2.55672160935107,2.22823313271542,2.58230146133049
1.32795305905165,2.72227579842261,2.62341764111479,2.25491070116889,2.63841253903427
1.34024892070954,2.78501476163758,2.68743709769099,2.27863094073023,2.68842003947315
1.35254478236743,2.8446236156737,2.74845173877514,2.29923981862147,2.73200838581985
1.36484064402531,2.90075112241602,2.8061207518269,2.31659438900566,2.76889698296857
1.3771365056832,2.95303694811053,2.86009364083243,2.33056409204005,2.79884263841276
1.38943236734108,3.00111515845005,2.91001351557686,2.34103198622305,2.8216417125286
1.40172822899897,3.04461806903057,2.9555207454982,2.34789590032837,2.83713197602233
1.41402409065685,3.08318040497943,2.99625693513295,2.35106949180467,2.84519415472514
1.42631995231474,3.11644371722173,3.03186917164987,2.35048319926839,2.84575314457785
1.43861581397263,3.14406099722,3.06201448911296,2.34608507762553,2.83877888251621
1.45091167563051,3.16570142719381,3.08636448901678,2.33784150541412,2.82428686201861
1.4632075372884,3.18105519888654,3.10461005238969,2.32573775515334,2.80233828528355
1.47550339894628,3.1898383309682,3.11646607543862,2.30977841880305,2.77303984733303
1.48779926060417,3.19179741320751,3.12167615837998,2.28998768186512,2.73654315075629
1.50009512226205,3.18671420465591,3.12001717581272,2.266409441178,2.69304375328362
1.51239098391994,3.1744100132899,3.11130365677776,2.23910726305166,2.64277985387391
1.52468684557783,3.15474978586887,3.09539190353023,2.20816418004109,2.5860306264782
1.53698270723571,3.12764583917682,3.07218378002932,2.17368232634518,2.52311421406676
1.5492785688936,3.09306116730898,3.04163010421029,2.13578241352115,2.45438539884174
1.56157443055148,3.05101226419816,3.00373358221231,2.094603049905,2.38023296776721
1.57387029220937,3.00157140609764,2.95855122784743,2.05029990880179,2.3010767955944
1.58616615386725,2.9448683451777,2.90619621664548,2.0030447521386,2.21736467041214
1.59846201552514,2.88109137266684,2.84683913071994,1.95302431783498,2.12956888937442
1.61075787718303,2.81048771797957,2.78070855837837,1.90043908062301,2.03818265462163
1.62305373884091,2.73336325891026,2.70809102074339,1.8455018974232,1.94371630148913
1.6353496004988,2.65008152711711,2.62933020654098,1.78843654963523,1.84669339286292
1.64764546215668,2.56106200264362,2.54482550552807,1.72947619582034,1.74764671497459
1.65994132381457,2.4667777009912,2.45502984063747,1.66886174921936,1.64711421100842
1.67223718547245,2.36775206612513,2.36044680867879,1.60684019535581,1.54563488960772
1.68453304713034,2.26455519262493,2.26162714920665,1.54366286560773,1.44374474570509
1.69682890878822,2.15779940983423,2.15916457080983,1.47958368308557,1.34197273105422
1.70912477044611,2.04813427018331,2.05369097344492,1.41485739742278,1.24083681140902
