agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
8,0.784374683041124,8,0.893810653467578,10,2,phi_{10},8-10,3,0.020752467702931,0.000823158117394367,0.0493152356640726,0,0.949861606218533,0.999176841882606,0.784374683041124,0.893810653467578,10,8,1,phi_{8},1,10,8,0.99982250627003,0.0514336498624402
8,0.850778736696536,8,0.884125769857643,10,2,phi_{10},8-10,4,0.020752467702931,0.000823158117394367,0.0493152356640726,0,0.949861606218533,0.999176841882606,0.850778736696536,0.884125769857643,10,8,1,phi_{8},1,10,8,0.999877167305824,0.0508763406486605
8,0.887158399303569,8,0.878806972474555,10,2,phi_{10},8-10,5,0.020752467702931,0.000823158117394367,0.0493152356640726,0,0.949861606218533,0.999176841882606,0.887158399303569,0.878806972474555,10,8,1,phi_{8},1,10,8,0.999907113520407,0.0505702745246669
10,0.688546730988498,10,0.841914593574044,8,1,phi_{8},8-10,1,0.0192560817206056,0.00151185724586382,0.0016189826466507,0,0.996869160107485,0.998488142754136,0.688546730988498,0.841914593574044,8,10,2,phi_{10},2,8,10,0.999529127118497,0.050890508228285
10,0.816597867490872,10,0.809327534551172,8,1,phi_{8},8-10,2,0.0192560817206056,0.00151185724586382,0.0016189826466507,0,0.996869160107485,0.998488142754136,0.816597867490872,0.809327534551172,8,10,2,phi_{10},2,8,10,0.999722722157059,0.048920745489883
10,0.877745436217954,10,0.793700695545453,8,1,phi_{8},8-10,3,0.0192560817206056,0.00151185724586382,0.0016189826466507,0,0.996869160107485,0.998488142754136,0.877745436217954,0.793700695545453,8,10,2,phi_{10},2,8,10,0.999815168551906,0.0479761630048276
10,0.924923190525536,10,0.781342605674053,8,1,phi_{8},8-10,4,0.0192560817206056,0.00151185724586382,0.0016189826466507,0,0.996869160107485,0.998488142754136,0.924923190525536,0.781342605674053,8,10,2,phi_{10},2,8,10,0.9998864945816,0.0472291638684703
10,0.945660648407474,10,0.775697702220151,8,1,phi_{8},8-10,5,0.0192560817206056,0.00151185724586382,0.0016189826466507,0,0.996869160107485,0.998488142754136,0.945660648407474,0.775697702220151,8,10,2,phi_{10},2,8,10,0.999917846657559,0.0468879511043
8,0.922895559826999,8,0.45994207725016,9,2,phi_{9},8-9,1,0.015673141217739,0.00772097993169278,0.0372885065396302,0,0.954990513528677,0.992279020068307,0.922895559826999,0.45994207725016,9,8,1,phi_{8},1,9,8,0.99940467816478,0.044772080738219
8,0.951814965934473,8,0.432409374974049,9,2,phi_{9},8-9,2,0.015673141217739,0.00772097993169278,0.0372885065396302,0,0.954990513528677,0.992279020068307,0.951814965934473,0.432409374974049,9,8,1,phi_{8},1,9,8,0.999627964318972,0.0420919685453593
8,0.969779198165763,8,0.41443297386125,9,2,phi_{9},8-9,3,0.015673141217739,0.00772097993169278,0.0372885065396302,0,0.954990513528677,0.992279020068307,0.969779198165763,0.41443297386125,9,8,1,phi_{8},1,9,8,0.999766665795518,0.0403420941115682
