Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Weight
9,5,11-12,12,11,12 -> 11,-0.0288613959487522
9,6,11-12,11,12,11 -> 12,-0.0317777328861334
9,7,7-10,10,7,10 -> 7,0.0361174158386321
9,8,7-10,7,10,7 -> 10,0.0470308635149706
9,9,7-11,11,7,11 -> 7,0.0260380847496405
9,10,7-11,7,11,7 -> 11,0.0364268689292655
9,11,7-12,12,7,12 -> 7,0.0160252381729241
9,12,7-12,7,12,7 -> 12,0.0212769334020351
9,13,7-8,8,7,8 -> 7,-0.0302730130239576
9,14,7-8,7,8,7 -> 8,-0.0439193131794347
9,15,7-9,9,7,9 -> 7,-0.0235181546432492
9,16,7-9,7,9,7 -> 9,-0.0285305895716234
9,17,8-10,10,8,10 -> 8,0.03565194697872
9,18,8-10,8,10,8 -> 10,0.0335089442609621
9,19,8-11,11,8,11 -> 8,0.0223291170090215
9,20,8-11,8,11,8 -> 11,0.0182106316104102
9,21,8-9,9,8,9 -> 8,-0.0316782682002809
9,22,8-9,8,9,8 -> 9,-0.031279429760403
9,23,9-10,10,9,10 -> 9,0.0201448455103053
9,24,9-10,9,10,9 -> 10,0.020573919125811
9,25,9-11,11,9,11 -> 9,0.0131436289118591
9,26,9-11,9,11,9 -> 11,0.0115444298334787
9,27,9-12,12,9,12 -> 9,0.0257105228116932
9,28,9-12,9,12,9 -> 12,0.0206637182483423
10,1,10-11,11,10,11 -> 10,-0.0461861666954331
10,2,10-11,10,11,10 -> 11,-0.0474502519197716
10,3,10-12,12,10,12 -> 10,-0.031612058363445
10,4,10-12,10,12,10 -> 12,-0.0322716508925683
10,5,11-12,12,11,12 -> 11,-0.0288631895271893
10,6,11-12,11,12,11 -> 12,-0.0317798886967814
10,7,7-10,10,7,10 -> 7,0.0361364563352574
10,8,7-10,7,10,7 -> 10,0.0470333775330547
10,9,7-11,11,7,11 -> 7,0.0261691130293148
10,10,7-11,7,11,7 -> 11,0.0364453520546753
10,11,7-12,12,7,12 -> 7,0.0160250092354989
10,12,7-12,7,12,7 -> 12,0.0212859865682966
10,13,7-8,8,7,8 -> 7,-0.0302674877213521
10,14,7-8,7,8,7 -> 8,-0.043919850809378
10,15,7-9,9,7,9 -> 7,-0.023517509930182
10,16,7-9,7,9,7 -> 9,-0.0285250658593157
10,17,8-10,10,8,10 -> 8,0.0356473255819309
10,18,8-10,8,10,8 -> 10,0.0335174055466092
10,19,8-11,11,8,11 -> 8,0.0223279046452241
10,20,8-11,8,11,8 -> 11,0.0182112608891612
10,21,8-9,9,8,9 -> 8,-0.0316676470846072
10,22,8-9,8,9,8 -> 9,-0.0312787025644104
10,23,9-10,10,9,10 -> 9,0.0201534615315527
10,24,9-10,9,10,9 -> 10,0.0205854348282641
10,25,9-11,11,9,11 -> 9,0.0131437301695499
10,26,9-11,9,11,9 -> 11,0.011545820080546
10,27,9-12,12,9,12 -> 9,0.0257110829649321
10,28,9-12,9,12,9 -> 12,0.0206699367075847
