trial,condition,mean_speed_cm_s,mean_speed_px_s,mean_power_W,cot_J_m,cot_mJ_px,cot_J_px,total_distance_m,total_distance_px,mode1_converged_mean,mode1_steady_std,mode2_converged_mean,mode2_steady_std,mode3_converged_mean,mode3_steady_std,mode4_converged_mean,mode4_steady_std,G_sum_all,G_mean_all,G_ag8,G_ag9,G_ag11,G_ag12,stroke_peak_freq_hz,total_energy_J,swimming_duration_sec,eval_window_start_sec,eval_window_end_sec
GX011414,m10sinz,4.990187647607481,39.547237107289284,2.1772113400796678,43.6298490924188,55.05343734059155,0.05505343734059155,0.8224720337471663,651.8090867446292,0.6721668242028203,0.13181781926232264,0.451450167703938,0.067475420975779,1.802991747119266,0.059838364906227605,0.25124893766400197,0.0709007908907759,0.16767346082331405,0.04191836520582851,0.05108356426517128,0.04991541142461924,0.03127275101864443,0.03540173411487909,1.2818139091051817,31.192109399939717,16.349666666666664,18.009999999999998,23.359666666666666
GX011415,m10sinz,5.253377456056068,41.633016339244335,2.1655994077943945,41.22299274912946,52.016394636125504,0.05201639463612551,1.912927207798712,1515.9948121804791,0.4330865285392179,0.15668962867158565,1.217065507554937,0.41145755751696844,1.1025130005127075,0.5413354690499342,0.6975718106116825,0.3775882074071096,0.15933115193130193,0.03983278798282548,0.027505377960686417,0.0303478112288612,0.04085429535800218,0.06062366738375215,2.6012768395040475,73.8323469800237,36.10273333333333,28.11273333333333,43.11273333333333
GX011317,m5sinz,4.971204958849919,39.3967992988856,2.1746752309962307,43.74543493976839,55.199286990244026,0.055199286990244026,2.1076959894217917,1670.3490716167698,0.2651542423335582,0.09521406033461172,1.1430442135419017,0.061249864533882245,1.5776523798316642,0.06141893640571904,0.3404506153431005,0.04089163844693106,0.14615448198967212,0.03653862049741803,0.02173319478056553,0.022912311306800652,0.04221751600290753,0.059291459899398415,1.2808718784184066,87.28274140949338,42.1421,34.1521,49.1521
GX011339,m5sinz,5.000377900963213,39.62799486513345,2.2585117600714457,45.166821484360085,56.99283468058055,0.05699283468058055,1.024168534405106,811.6535635160465,0.25566232840557285,0.03949567428151157,1.4151115379765347,0.06851986144247363,1.0253452626800086,0.1948553433461605,0.9065493905833898,0.12153662099415674,0.15684431962052647,0.03921107990513162,0.024810855612695804,0.027064214964990542,0.04313756987598709,0.06183167916685302,2.603953423625616,41.38178474226552,20.33698333333333,18.009999999999998,27.34698333333333
GX011340,m5sinz,4.89777828964679,38.8148929454508,2.2165193289624416,45.255607703759274,57.10486776499594,0.05710486776499594,2.1550087624769882,1707.844444263013,0.33726955935162745,0.0892857110817398,1.1633713603822364,0.07481914748258375,1.5429647051830702,0.08829396076264578,0.3472279708123788,0.10081830428770212,0.15168363142151403,0.03792090785537851,0.025060010306850185,0.029212184809742595,0.03257202209956811,0.06483941420535312,2.557442557442618,92.55723387557165,43.77706666666667,35.78706666666667,50.78706666666667
GX011341,m5sinz,4.848532710937569,38.42462173418023,2.2046065152662995,45.469560518650006,57.3748397711672,0.0573748397711672,1.2307522970507836,975.3711954127459,0.35522268304129484,0.05204868175801502,1.2006736450876856,0.06852728605456476,1.470997213900793,0.07696600870972024,0.5020282853358893,0.05492849453568706,0.15457042109625058,0.038642605274062644,0.02679863280059484,0.032563015224327065,0.030044948035823252,0.06516382503550544,1.2694122555142047,51.10077772597903,25.191833333333335,18.009999999999998,32.20183333333333
GX011342,m5sinz,5.11816395766134,40.56144936446611,2.181804395969429,42.628653830120136,53.79009947018315,0.05379009947018315,1.302127900092267,1031.9363608231215,0.2956078821007559,0.10052330406300787,1.329985179865699,0.07945717019469387,1.2332855303473378,0.15330878947344603,0.7520492782475976,0.1315408628040636,0.1560238684423601,0.039005967110590026,0.025516141611689695,0.029348643003818557,0.03791872188925283,0.06324036193759901,2.557442557442618,50.1634625877696,25.008316666666673,18.009999999999998,32.01831666666667
GX011343,m5sinz,5.344432581884246,42.35462821143264,2.1942124584228893,41.05604149373127,51.805730591459024,0.05180573059145902,2.0866446261183604,1653.6658661988004,0.08693980158344872,0.032852078548770244,0.9887590222447346,0.058500541116095296,1.6647603349208409,0.0477857428827648,0.48364176247914836,0.0517880435935119,0.14049142588988106,0.035122856472470265,0.028583038857608715,0.029054012420302002,0.04256961109175641,0.040284763520213936,1.263796444519366,80.6205167273836,38.755383333333334,30.765383333333332,45.76538333333333
GX011344,m5sinz,5.196669350985581,41.18360460656072,2.194956417996159,42.237754025660145,53.29685050556486,0.05329685050556486,2.804863851347339,2222.854602192766,0.11202797185403329,0.06484144050213696,1.4453550235459707,0.03560729311682466,0.7154951076764626,0.2547851208109785,1.141681182922764,0.1126812195480202,0.14727221864149695,0.03681805466037424,0.026803730635818472,0.01793135753811539,0.056211544899317574,0.046325585568245516,1.2662081627599169,113.41407725920618,53.68696666666667,45.69696666666667,60.69696666666667
GX011345,m5sinz,5.118368308278921,40.56306884311044,2.194786951335275,42.880598252087964,54.10801041272929,0.05410801041272929,2.576501030800437,2041.877066909346,0.17101450326390083,0.11503880783886841,1.4516187199115114,0.028360577340242776,0.5095698330157541,0.26058704876575856,1.231313430311896,0.07666577669672002,0.14657787130566335,0.03664446782641584,0.023533757717490937,0.01899819341570878,0.05272734799709434,0.051318572175369295,1.2583218181352436,105.441289635695,50.050000000000004,42.06,57.06
